2017-02-15 20:17:07 status unpacked base-passwd:arm64 3.5.39
2017-02-15 20:17:07 status unpacked base-passwd:arm64 3.5.39
2017-02-15 20:17:07 install bash:arm64 <none> 4.3-14ubuntu1
2017-02-15 20:17:07 status half-installed bash:arm64 4.3-14ubuntu1
2017-02-15 20:17:07 status unpacked bash:arm64 4.3-14ubuntu1
2017-02-15 20:17:07 status unpacked bash:arm64 4.3-14ubuntu1
2017-02-15 20:17:07 install bsdutils:arm64 <none> 1:2.27.1-6ubuntu3
2017-02-15 20:17:07 status half-installed bsdutils:arm64 1:2.27.1-6ubuntu3
2017-02-15 20:17:07 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2017-02-15 20:17:07 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2017-02-15 20:17:07 install coreutils:arm64 <none> 8.25-2ubuntu2
2017-02-15 20:17:07 status half-installed coreutils:arm64 8.25-2ubuntu2
2017-02-15 20:17:07 status unpacked coreutils:arm64 8.25-2ubuntu2
2017-02-15 20:17:07 status unpacked coreutils:arm64 8.25-2ubuntu2
2017-02-15 20:17:07 install dash:arm64 <none> 0.5.8-2.1ubuntu2
2017-02-15 20:17:07 status half-installed dash:arm64 0.5.8-2.1ubuntu2
2017-02-15 20:17:07 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2017-02-15 20:17:07 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2017-02-15 20:17:07 install debconf:all <none> 1.5.58ubuntu1
2017-02-15 20:17:07 status half-installed debconf:all 1.5.58ubuntu1
2017-02-15 20:17:07 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:17:07 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:17:07 install debianutils:arm64 <none> 4.7
2017-02-15 20:17:07 status half-installed debianutils:arm64 4.7
2017-02-15 20:17:08 status unpacked debianutils:arm64 4.7
2017-02-15 20:17:08 status unpacked debianutils:arm64 4.7
2017-02-15 20:17:08 install diffutils:arm64 <none> 1:3.3-3
2017-02-15 20:17:08 status half-installed diffutils:arm64 1:3.3-3
2017-02-15 20:17:08 status unpacked diffutils:arm64 1:3.3-3
2017-02-15 20:17:08 status unpacked diffutils:arm64 1:3.3-3
2017-02-15 20:17:08 upgrade dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:17:08 status half-configured dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 status half-installed dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 status half-installed dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:08 install e2fslibs:arm64 <none> 1.42.13-1ubuntu1
2017-02-15 20:17:08 status half-installed e2fslibs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 install e2fsprogs:arm64 <none> 1.42.13-1ubuntu1
2017-02-15 20:17:08 status half-installed e2fsprogs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:08 install findutils:arm64 <none> 4.6.0+git+20160126-2
2017-02-15 20:17:08 status half-installed findutils:arm64 4.6.0+git+20160126-2
2017-02-15 20:17:08 status unpacked findutils:arm64 4.6.0+git+20160126-2
2017-02-15 20:17:08 status unpacked findutils:arm64 4.6.0+git+20160126-2
2017-02-15 20:17:08 install gcc-6-base:arm64 <none> 6.0.1-0ubuntu1
2017-02-15 20:17:08 status half-installed gcc-6-base:arm64 6.0.1-0ubuntu1
2017-02-15 20:17:08 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2017-02-15 20:17:08 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2017-02-15 20:17:08 install grep:arm64 <none> 2.24-1
2017-02-15 20:17:08 status half-installed grep:arm64 2.24-1
2017-02-15 20:17:08 status unpacked grep:arm64 2.24-1
2017-02-15 20:17:08 status unpacked grep:arm64 2.24-1
2017-02-15 20:17:08 install gzip:arm64 <none> 1.6-4ubuntu1
2017-02-15 20:17:08 status half-installed gzip:arm64 1.6-4ubuntu1
2017-02-15 20:17:08 status unpacked gzip:arm64 1.6-4ubuntu1
2017-02-15 20:17:08 status unpacked gzip:arm64 1.6-4ubuntu1
2017-02-15 20:17:08 install hostname:arm64 <none> 3.16ubuntu2
2017-02-15 20:17:08 status half-installed hostname:arm64 3.16ubuntu2
2017-02-15 20:17:08 status unpacked hostname:arm64 3.16ubuntu2
2017-02-15 20:17:08 status unpacked hostname:arm64 3.16ubuntu2
2017-02-15 20:17:08 install init:arm64 <none> 1.29ubuntu1
2017-02-15 20:17:08 status half-installed init:arm64 1.29ubuntu1
2017-02-15 20:17:08 status unpacked init:arm64 1.29ubuntu1
2017-02-15 20:17:08 status unpacked init:arm64 1.29ubuntu1
2017-02-15 20:17:08 install init-system-helpers:all <none> 1.29ubuntu1
2017-02-15 20:17:08 status half-installed init-system-helpers:all 1.29ubuntu1
2017-02-15 20:17:08 status unpacked init-system-helpers:all 1.29ubuntu1
2017-02-15 20:17:08 status unpacked init-system-helpers:all 1.29ubuntu1
2017-02-15 20:17:08 install initscripts:arm64 <none> 2.88dsf-59.3ubuntu2
2017-02-15 20:17:08 status half-installed initscripts:arm64 2.88dsf-59.3ubuntu2
2017-02-15 20:17:08 status unpacked initscripts:arm64 2.88dsf-59.3ubuntu2
2017-02-15 20:17:08 status unpacked initscripts:arm64 2.88dsf-59.3ubuntu2
2017-02-15 20:17:08 install insserv:arm64 <none> 1.14.0-5ubuntu3
2017-02-15 20:17:08 status half-installed insserv:arm64 1.14.0-5ubuntu3
2017-02-15 20:17:08 status unpacked insserv:arm64 1.14.0-5ubuntu3
2017-02-15 20:17:08 status unpacked insserv:arm64 1.14.0-5ubuntu3
2017-02-15 20:17:09 install libacl1:arm64 <none> 2.2.52-3
