2017-04-12 03:04:52 status unpacked base-passwd:arm64 3.5.43
2017-04-12 03:04:52 status unpacked base-passwd:arm64 3.5.43
2017-04-12 03:04:52 install bash:arm64 <none> 4.4-2ubuntu1
2017-04-12 03:04:52 status half-installed bash:arm64 4.4-2ubuntu1
2017-04-12 03:04:52 status unpacked bash:arm64 4.4-2ubuntu1
2017-04-12 03:04:52 status unpacked bash:arm64 4.4-2ubuntu1
2017-04-12 03:04:52 install bsdutils:arm64 <none> 1:2.29-1ubuntu2
2017-04-12 03:04:52 status half-installed bsdutils:arm64 1:2.29-1ubuntu2
2017-04-12 03:04:52 status unpacked bsdutils:arm64 1:2.29-1ubuntu2
2017-04-12 03:04:52 status unpacked bsdutils:arm64 1:2.29-1ubuntu2
2017-04-12 03:04:52 install coreutils:arm64 <none> 8.26-3ubuntu3
2017-04-12 03:04:52 status half-installed coreutils:arm64 8.26-3ubuntu3
2017-04-12 03:04:53 status unpacked coreutils:arm64 8.26-3ubuntu3
2017-04-12 03:04:53 status unpacked coreutils:arm64 8.26-3ubuntu3
2017-04-12 03:04:53 install dash:arm64 <none> 0.5.8-2.3ubuntu1
2017-04-12 03:04:53 status half-installed dash:arm64 0.5.8-2.3ubuntu1
2017-04-12 03:04:53 status unpacked dash:arm64 0.5.8-2.3ubuntu1
2017-04-12 03:04:53 status unpacked dash:arm64 0.5.8-2.3ubuntu1
2017-04-12 03:04:53 install debconf:all <none> 1.5.59ubuntu1
2017-04-12 03:04:53 status half-installed debconf:all 1.5.59ubuntu1
2017-04-12 03:04:53 status unpacked debconf:all 1.5.59ubuntu1
2017-04-12 03:04:53 status unpacked debconf:all 1.5.59ubuntu1
2017-04-12 03:04:53 install debianutils:arm64 <none> 4.8.1
2017-04-12 03:04:53 status half-installed debianutils:arm64 4.8.1
2017-04-12 03:04:53 status unpacked debianutils:arm64 4.8.1
2017-04-12 03:04:53 status unpacked debianutils:arm64 4.8.1
2017-04-12 03:04:53 install diffutils:arm64 <none> 1:3.5-3
2017-04-12 03:04:53 status half-installed diffutils:arm64 1:3.5-3
2017-04-12 03:04:53 status unpacked diffutils:arm64 1:3.5-3
2017-04-12 03:04:53 status unpacked diffutils:arm64 1:3.5-3
2017-04-12 03:04:53 upgrade dpkg:arm64 1.18.10ubuntu2 1.18.10ubuntu2
2017-04-12 03:04:53 status half-configured dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:53 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:53 status half-installed dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:54 status half-installed dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:54 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:54 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:54 install e2fslibs:arm64 <none> 1.43.4-2
2017-04-12 03:04:54 status half-installed e2fslibs:arm64 1.43.4-2
2017-04-12 03:04:54 status unpacked e2fslibs:arm64 1.43.4-2
2017-04-12 03:04:54 status unpacked e2fslibs:arm64 1.43.4-2
2017-04-12 03:04:54 install e2fsprogs:arm64 <none> 1.43.4-2
2017-04-12 03:04:54 status half-installed e2fsprogs:arm64 1.43.4-2
2017-04-12 03:04:54 status unpacked e2fsprogs:arm64 1.43.4-2
2017-04-12 03:04:54 status unpacked e2fsprogs:arm64 1.43.4-2
2017-04-12 03:04:54 install findutils:arm64 <none> 4.6.0+git+20161106-2
